Element,ProjectId,FileId,Count,Alias,Kind,Line,PackageName,IsSnowparkAnacondaSupported,Automated,Status,Statement,SessionId,SnowConvertCoreVersion,SnowparkVersion,ElementPackage,CellId,ExecutionId,Origin,Technology,FullName
os,in,workload.py,1,os,,1,,True,,Direct,import os,ee0db05c-8149-4f85-81e8-1c7ccb02b502,8.01.026,1.40.000,os.__init__,,95f011c3-c806-49dd-b964-75ea94bc7929,BuiltIn,Python,os
shutil,in,workload.py,1,shutil,,2,,True,,Direct,import shutil,ee0db05c-8149-4f85-81e8-1c7ccb02b502,8.01.026,1.40.000,shutil,,95f011c3-c806-49dd-b964-75ea94bc7929,BuiltIn,Python,shutil
pandas,in,workload.py,1,pd,,3,,True,,Transformation,import pandas as pd,ee0db05c-8149-4f85-81e8-1c7ccb02b502,8.01.026,1.40.000,pandas.__init__,,95f011c3-c806-49dd-b964-75ea94bc7929,ThirdPartyLib,Python,pandas
pyspark.sql.DataFrame,in,workload.py,1,DataFrame,,4,pyspark.sql,True,,Transformation,"from pyspark.sql import SparkSession, DataFrame",ee0db05c-8149-4f85-81e8-1c7ccb02b502,8.01.026,1.40.000,pyspark.sql.dataframe,,95f011c3-c806-49dd-b964-75ea94bc7929,ThirdPartyLib,Python,pyspark.sql.dataframe.DataFrame
pyspark.sql.SparkSession,in,workload.py,1,SparkSession,,4,pyspark.sql,True,,Transformation,"from pyspark.sql import SparkSession, DataFrame",ee0db05c-8149-4f85-81e8-1c7ccb02b502,8.01.026,1.40.000,pyspark.sql.session,,95f011c3-c806-49dd-b964-75ea94bc7929,ThirdPartyLib,Python,pyspark.sql.session.SparkSession
pyspark.sql.functions.abs,in,workload.py,1,abs,,5,pyspark.sql.functions,True,,Transformation,"from pyspark.sql.functions import col, sum, count, lit, rank, window, coalesce, abs, round, when",ee0db05c-8149-4f85-81e8-1c7ccb02b502,8.01.026,1.40.000,pyspark.sql.functions,,95f011c3-c806-49dd-b964-75ea94bc7929,ThirdPartyLib,Python,pyspark.sql.functions.abs
pyspark.sql.functions.coalesce,in,workload.py,1,coalesce,,5,pyspark.sql.functions,True,,Transformation,"from pyspark.sql.functions import col, sum, count, lit, rank, window, coalesce, abs, round, when",ee0db05c-8149-4f85-81e8-1c7ccb02b502,8.01.026,1.40.000,pyspark.sql.functions,,95f011c3-c806-49dd-b964-75ea94bc7929,ThirdPartyLib,Python,pyspark.sql.functions.coalesce
pyspark.sql.functions.col,in,workload.py,1,col,,5,pyspark.sql.functions,True,,Transformation,"from pyspark.sql.functions import col, sum, count, lit, rank, window, coalesce, abs, round, when",ee0db05c-8149-4f85-81e8-1c7ccb02b502,8.01.026,1.40.000,pyspark.sql.functions,,95f011c3-c806-49dd-b964-75ea94bc7929,ThirdPartyLib,Python,pyspark.sql.functions.col
pyspark.sql.functions.count,in,workload.py,1,count,,5,pyspark.sql.functions,True,,Transformation,"from pyspark.sql.functions import col, sum, count, lit, rank, window, coalesce, abs, round, when",ee0db05c-8149-4f85-81e8-1c7ccb02b502,8.01.026,1.40.000,pyspark.sql.functions,,95f011c3-c806-49dd-b964-75ea94bc7929,ThirdPartyLib,Python,pyspark.sql.functions.count
pyspark.sql.functions.lit,in,workload.py,1,lit,,5,pyspark.sql.functions,True,,Transformation,"from pyspark.sql.functions import col, sum, count, lit, rank, window, coalesce, abs, round, when",ee0db05c-8149-4f85-81e8-1c7ccb02b502,8.01.026,1.40.000,pyspark.sql.functions,,95f011c3-c806-49dd-b964-75ea94bc7929,ThirdPartyLib,Python,pyspark.sql.functions.lit
pyspark.sql.functions.rank,in,workload.py,1,rank,,5,pyspark.sql.functions,True,,Transformation,"from pyspark.sql.functions import col, sum, count, lit, rank, window, coalesce, abs, round, when",ee0db05c-8149-4f85-81e8-1c7ccb02b502,8.01.026,1.40.000,pyspark.sql.functions,,95f011c3-c806-49dd-b964-75ea94bc7929,ThirdPartyLib,Python,pyspark.sql.functions.rank
pyspark.sql.functions.round,in,workload.py,1,round,,5,pyspark.sql.functions,True,,Transformation,"from pyspark.sql.functions import col, sum, count, lit, rank, window, coalesce, abs, round, when",ee0db05c-8149-4f85-81e8-1c7ccb02b502,8.01.026,1.40.000,pyspark.sql.functions,,95f011c3-c806-49dd-b964-75ea94bc7929,ThirdPartyLib,Python,pyspark.sql.functions.round
pyspark.sql.functions.sum,in,workload.py,1,sum,,5,pyspark.sql.functions,True,,Transformation,"from pyspark.sql.functions import col, sum, count, lit, rank, window, coalesce, abs, round, when",ee0db05c-8149-4f85-81e8-1c7ccb02b502,8.01.026,1.40.000,pyspark.sql.functions,,95f011c3-c806-49dd-b964-75ea94bc7929,ThirdPartyLib,Python,pyspark.sql.functions.sum
pyspark.sql.functions.when,in,workload.py,1,when,,5,pyspark.sql.functions,True,,Transformation,"from pyspark.sql.functions import col, sum, count, lit, rank, window, coalesce, abs, round, when",ee0db05c-8149-4f85-81e8-1c7ccb02b502,8.01.026,1.40.000,pyspark.sql.functions,,95f011c3-c806-49dd-b964-75ea94bc7929,ThirdPartyLib,Python,pyspark.sql.functions.when
