API,TYPE,INTERMEDIATECOMPATIBILITY,OTHER_NOTE,COMPATIBILITY,IS_SUPPORTED
pyspark,module,SHEET_0,,D0,true
pyspark.sql,module,SHEET_0,,D0,true
pyspark.sql.catalog.Catalog,class,Sheet_0,,D0,true
pyspark.sql.catalog.Catalog.cacheTable,function,D0,,D0,true
pyspark.sql.catalog.Catalog.clearCache,function,D0,,D0,true
pyspark.sql.catalog.Catalog.createExternalTable,function,None,,NONE,false
pyspark.sql.catalog.Catalog.createTable,function,D1,,D1,true
pyspark.sql.catalog.Catalog.currentCatalog,function,D1,,D1,true
pyspark.sql.catalog.Catalog.currentDatabase,function,D0,,D0,true
pyspark.sql.catalog.Catalog.databaseExists,function,None,,NONE,false
pyspark.sql.catalog.Catalog.dropGlobalTempView,function,D0,,D0,true
pyspark.sql.catalog.Catalog.dropTempView,function,D0,,D0,true
pyspark.sql.catalog.Catalog.functionExists,function,D1,,D1,true
pyspark.sql.catalog.Catalog.getDatabase,function,D1,,D1,true
pyspark.sql.catalog.Catalog.getFunction,function,None,,NONE,false
pyspark.sql.catalog.Catalog.getTable,function,D1,,D1,true
pyspark.sql.catalog.Catalog.isCached,function,D0,,D0,true
pyspark.sql.catalog.Catalog.listCatalogs,function,D1,,D1,true
pyspark.sql.catalog.Catalog.listColumns,function,D1,,D1,true
pyspark.sql.catalog.Catalog.listDatabases,function,D1,,D1,true
pyspark.sql.catalog.Catalog.listFunctions,function,D0,,D0,true
pyspark.sql.catalog.Catalog.listTables,function,Sheet_0,,D0,true
pyspark.sql.catalog.Catalog.recoverPartitions,function,D1,,D1,true
pyspark.sql.catalog.Catalog.refreshByPath,function,D0,,D0,true
pyspark.sql.catalog.Catalog.refreshTable,function,D0,,D0,true
pyspark.sql.catalog.Catalog.registerFunction,function,D1,,D1,true
pyspark.sql.catalog.Catalog.setCurrentCatalog,function,D1,,D1,true
pyspark.sql.catalog.Catalog.setCurrentDatabase,function,D0,,D0,true
pyspark.sql.catalog.Catalog.tableExists,function,D1,,D1,true
pyspark.sql.catalog.Catalog.uncacheTable,function,D0,,D0,true
pyspark.sql.column.Column,class,D1,,D1,true
pyspark.sql.column.Column.alias,function,D1,,D1,true
pyspark.sql.column.Column.asc,function,D1,,D1,true
pyspark.sql.column.Column.asc_nulls_first,function,D1,,D1,true
pyspark.sql.column.Column.asc_nulls_last,function,D1,,D1,true
pyspark.sql.column.Column.astype,function,D1,,D1,true
pyspark.sql.column.Column.between,function,D0,,D0,true
pyspark.sql.column.Column.bitwiseAND,function,D1,,D1,true
pyspark.sql.column.Column.bitwiseOR,function,D1,,D1,true
pyspark.sql.column.Column.bitwiseXOR,function,D1,,D1,true
pyspark.sql.column.Column.cast,function,D1,,D1,true
pyspark.sql.column.Column.contains,function,D0,,D0,true
pyspark.sql.column.Column.desc,function,D0,,D0,true
pyspark.sql.column.Column.desc_nulls_first,function,D1,,D1,true
pyspark.sql.column.Column.desc_nulls_last,function,D1,,D1,true
pyspark.sql.column.Column.dropFields,function,D2,,D2,true
pyspark.sql.column.Column.endswith,function,D1,,D1,true
pyspark.sql.column.Column.eqNullSafe,function,D0,,D0,true
pyspark.sql.column.Column.getField,function,D2,,D2,true
pyspark.sql.column.Column.getItem,function,D0,,D0,true
pyspark.sql.column.Column.ilike,function,D2,,D2,true
pyspark.sql.column.Column.isNotNull,function,D1,,D1,true
pyspark.sql.column.Column.isNull,function,D0,,D0,true
pyspark.sql.column.Column.isin,function,D0,,D0,true
pyspark.sql.column.Column.like,function,D0,,D0,true
pyspark.sql.column.Column.name,function,D1,,D1,true
pyspark.sql.column.Column.otherwise,function,D0,,D0,true
pyspark.sql.column.Column.over,function,D2,,D2,true
pyspark.sql.column.Column.rlike,function,D2,,D2,true
pyspark.sql.column.Column.startswith,function,D0,,D0,true
pyspark.sql.column.Column.substr,function,D0,,D0,true
pyspark.sql.column.Column.when,function,D0,,D0,true
pyspark.sql.column.Column.withField,function,D2,,D2,true
pyspark.sql.dataframe.DataFrame,class,SHEET_0,,D0,true
pyspark.sql.dataframe.DataFrame.agg,function,D1,,D1,true
pyspark.sql.dataframe.DataFrame.alias,function,D2,,D2,true
pyspark.sql.dataframe.DataFrame.approxQuantile,function,D2,,D2,true
pyspark.sql.dataframe.DataFrame.cache,function,D0,,D0,true
pyspark.sql.dataframe.DataFrame.checkpoint,function,D2,,D2,true
pyspark.sql.dataframe.DataFrame.coalesce,function,D0,,D0,true
pyspark.sql.dataframe.DataFrame.colRegex,function,D1,,D1,true
pyspark.sql.dataframe.DataFrame.collect,function,D0,,D0,true
pyspark.sql.dataframe.DataFrame.columns,property,D1,,D1,true
pyspark.sql.dataframe.DataFrame.corr,function,D1,,D1,true
pyspark.sql.dataframe.DataFrame.count,function,D0,,D0,true
pyspark.sql.dataframe.DataFrame.cov,function,D1,,D1,true
pyspark.sql.dataframe.DataFrame.createGlobalTempView,function,D2,,D2,true
