snowpark_connect_category,keyword_pattern,language,ewi_code,sma_category,description_template,doc_url
RDD,,python,SPRKCNTPY1500,ConversionError,"The element '{element}' of the library RDD is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy1500
Unsupported Module,pyspark.ml|spark.ml,python,SPRKCNTPY2500,ConversionError,"The element '{element}' of the library ML is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy2500
Unsupported Module,pyspark.streaming|spark.streaming|DStream,python,SPRKCNTPY2000,ConversionError,"The element '{element}' of the library Streaming is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy2000
Unsupported Module,pyspark.mllib|spark.mllib,python,SPRKCNTPY3000,ConversionError,"The element '{element}' of the library MLLIB is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy3000
Unsupported Module,graphx|org.apache.spark.graphx,python,SPRKCNTPY3000,ConversionError,"The element '{element}' of the library GraphX is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy3000
SparkSession,SparkSession|getOrCreate|session.builder,python,SPRKCNTPY1001,Warning,"The creation of the SparkSession has been replaced with the creation of an equivalent Snowpark Connect Session",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy1001
SparkSession,appName|appname,python,SPRKCNTPY3501,Warning,"The AppName method has been replaced with the SetName function for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy3501
SparkSession,master,python,SPRKCNTPY3502,Warning,"The Master method has been replaced with the SetMaster function for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy3502
SparkContext,SparkContext,python,SPRKCNTPY4000,ConversionError,"The element '{element}' of the library SparkContext is not supported by Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy4000
SparkContext,pyspark.context.SparkContext,python,SPRKCNTPY4001,Warning,"SparkContext instantiation has been converted to a Snowpark Connect session",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy4001
Unsupported Format,,python,SPRKCNTPY1000,ConversionError,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy1000
