Code,Description,Category,NodeType,CellId,FileId,ProjectId,Line,Column,Url
SPRKPY1002,pyspark.sql.functions.window is not supported,ConversionError, Snowflake.SnowConvert.Python.AST.PyImportFromDotName,0,\workload.py,in,5,1,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/README#sprkpy1002
SPRKPY1054,"pyspark.sql.readwriter.DataFrameReader.format with argument value ""csv"" is not supported.",Warning, Snowflake.SnowConvert.Python.AST.PyFuncCall,0,\workload.py,in,62,51,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/README#sprkpy1054
SPRKPY1082,"The pyspark.sql.readwriter.DataFrameReader.load function is not supported. A workaround is to use Snowpark DataFrameReader format specific method instead (avro csv, json, orc, parquet). The path parameter should be a stage location.",Warning, Snowflake.SnowConvert.Python.AST.PyFuncCall,0,\workload.py,in,62,65,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/README#sprkpy1082
SPRKPY1054,"pyspark.sql.readwriter.DataFrameReader.format with argument value ""csv"" is not supported.",Warning, Snowflake.SnowConvert.Python.AST.PyFuncCall,0,\workload.py,in,63,49,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/README#sprkpy1054
SPRKPY1082,"The pyspark.sql.readwriter.DataFrameReader.load function is not supported. A workaround is to use Snowpark DataFrameReader format specific method instead (avro csv, json, orc, parquet). The path parameter should be a stage location.",Warning, Snowflake.SnowConvert.Python.AST.PyFuncCall,0,\workload.py,in,63,63,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/README#sprkpy1082
SPRKPY1054,"pyspark.sql.readwriter.DataFrameReader.format with argument value ""csv"" is not supported.",Warning, Snowflake.SnowConvert.Python.AST.PyFuncCall,0,\workload.py,in,64,49,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/README#sprkpy1054
SPRKPY1082,"The pyspark.sql.readwriter.DataFrameReader.load function is not supported. A workaround is to use Snowpark DataFrameReader format specific method instead (avro csv, json, orc, parquet). The path parameter should be a stage location.",Warning, Snowflake.SnowConvert.Python.AST.PyFuncCall,0,\workload.py,in,64,63,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/README#sprkpy1082
SPRKPY1054,"pyspark.sql.readwriter.DataFrameReader.format with argument value ""csv"" is not supported.",Warning, Snowflake.SnowConvert.Python.AST.PyFuncCall,0,\workload.py,in,65,46,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/README#sprkpy1054
SPRKPY1082,"The pyspark.sql.readwriter.DataFrameReader.load function is not supported. A workaround is to use Snowpark DataFrameReader format specific method instead (avro csv, json, orc, parquet). The path parameter should be a stage location.",Warning, Snowflake.SnowConvert.Python.AST.PyFuncCall,0,\workload.py,in,65,60,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/README#sprkpy1082
SPRKPY1054,"pyspark.sql.readwriter.DataFrameReader.format with argument value ""csv"" is not supported.",Warning, Snowflake.SnowConvert.Python.AST.PyFuncCall,0,\workload.py,in,66,48,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/README#sprkpy1054
