Element,ProjectId,FileId,Count,Alias,Kind,Line,PackageName,Supported,Automated,Status,Statement,SessionId,SnowConvertCoreVersion,SnowparkVersion,CellId,ExecutionId,ParametersInfo,Technology,IsSnowparkConnectSupported
pyspark.sql.dataframe.DataFrame,in,workload.py,1,DataFrame,Class,4,in.workload,True,True,Direct,"from pyspark.sql import SparkSession, DataFrame",ee0db05c-8149-4f85-81e8-1c7ccb02b502,8.01.026,1.40.000,,95f011c3-c806-49dd-b964-75ea94bc7929,,Python,True
pyspark.sql.session.SparkSession,in,workload.py,1,SparkSession,Class,4,in.workload,True,True,Rename,"from pyspark.sql import SparkSession, DataFrame",ee0db05c-8149-4f85-81e8-1c7ccb02b502,8.01.026,1.40.000,,95f011c3-c806-49dd-b964-75ea94bc7929,,Python,True
pyspark.sql.functions.abs,in,workload.py,1,abs,Function,5,in.workload,True,True,Direct,"from pyspark.sql.functions import col, sum, count, lit, rank, window, coalesce, abs, round, when",ee0db05c-8149-4f85-81e8-1c7ccb02b502,8.01.026,1.40.000,,95f011c3-c806-49dd-b964-75ea94bc7929,,Python,True
pyspark.sql.functions.coalesce,in,workload.py,1,coalesce,Function,5,in.workload,True,True,Direct,"from pyspark.sql.functions import col, sum, count, lit, rank, window, coalesce, abs, round, when",ee0db05c-8149-4f85-81e8-1c7ccb02b502,8.01.026,1.40.000,,95f011c3-c806-49dd-b964-75ea94bc7929,,Python,True
pyspark.sql.functions.col,in,workload.py,1,col,Function,5,in.workload,True,True,Direct,"from pyspark.sql.functions import col, sum, count, lit, rank, window, coalesce, abs, round, when",ee0db05c-8149-4f85-81e8-1c7ccb02b502,8.01.026,1.40.000,,95f011c3-c806-49dd-b964-75ea94bc7929,,Python,True
pyspark.sql.functions.count,in,workload.py,1,count,Function,5,in.workload,True,True,Direct,"from pyspark.sql.functions import col, sum, count, lit, rank, window, coalesce, abs, round, when",ee0db05c-8149-4f85-81e8-1c7ccb02b502,8.01.026,1.40.000,,95f011c3-c806-49dd-b964-75ea94bc7929,,Python,True
pyspark.sql.functions.lit,in,workload.py,1,lit,Function,5,in.workload,True,True,Direct,"from pyspark.sql.functions import col, sum, count, lit, rank, window, coalesce, abs, round, when",ee0db05c-8149-4f85-81e8-1c7ccb02b502,8.01.026,1.40.000,,95f011c3-c806-49dd-b964-75ea94bc7929,,Python,True
pyspark.sql.functions.rank,in,workload.py,1,rank,Function,5,in.workload,True,True,Direct,"from pyspark.sql.functions import col, sum, count, lit, rank, window, coalesce, abs, round, when",ee0db05c-8149-4f85-81e8-1c7ccb02b502,8.01.026,1.40.000,,95f011c3-c806-49dd-b964-75ea94bc7929,,Python,True
pyspark.sql.functions.round,in,workload.py,1,round,Function,5,in.workload,True,True,Direct,"from pyspark.sql.functions import col, sum, count, lit, rank, window, coalesce, abs, round, when",ee0db05c-8149-4f85-81e8-1c7ccb02b502,8.01.026,1.40.000,,95f011c3-c806-49dd-b964-75ea94bc7929,,Python,True
pyspark.sql.functions.sum,in,workload.py,1,sum,Function,5,in.workload,True,True,Direct,"from pyspark.sql.functions import col, sum, count, lit, rank, window, coalesce, abs, round, when",ee0db05c-8149-4f85-81e8-1c7ccb02b502,8.01.026,1.40.000,,95f011c3-c806-49dd-b964-75ea94bc7929,,Python,True
