snowpark_connect_category,keyword_pattern,language,ewi_code,sma_category,description_template,doc_url
Partial Migration,,python,SPRKCNTPY0099,Warning,"The file '{element}' was not fully processed by the LLM migration agent — a deterministic fallback transformation was applied. Manual review required.",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy0099
RDD,,python,SPRKCNTPY1500,ConversionError,"The element '{element}' of the library RDD is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy1500
Unsupported Module,pyspark.ml|spark.ml,python,SPRKCNTPY2500,ConversionError,"The element '{element}' of the library ML is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy2500
Unsupported Module,pyspark.streaming|spark.streaming|DStream,python,SPRKCNTPY2000,ConversionError,"The element '{element}' of the library Streaming is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy2000
Unsupported Module,pyspark.mllib|spark.mllib,python,SPRKCNTPY3000,ConversionError,"The element '{element}' of the library MLLIB is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy3000
SparkSession,SparkSession|getOrCreate,python,SPRKCNTPY1001,Warning,"The creation of the SparkSession has been replaced with the creation of an equivalent Snowpark Connect Session",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy1001
SparkContext,SparkContext,python,SPRKCNTPY4000,ConversionError,"The element '{element}' of the library SparkContext is not supported by Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy4000
Unsupported Format,,python,SPRKCNTPY1000,ConversionError,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy1000
Wildcard File Read,wildcard|glob|*.json|*.csv|*.parquet,python,SPRKCNTPY1000,ConversionError,"Wildcard/glob pattern in file read path is not supported for Snowpark Connect — replace with explicit file list",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy1000
Unsupported Save Mode,,python,SPRKCNTPY1000,ConversionError,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy1000
Unsupported Option,,python,SPRKCNTPY1000,Warning,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy1000
No-Op API,,python,SPRKCNTPY1000,Warning,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy1000
No-Op Config,,python,SPRKCNTPY1000,Warning,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy1000
UDF Serialization,,python,SPRKCNTPY1000,Warning,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy1000
Performance Optimization,,python,SPRKCNTPY1000,Information,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy1000
Recommended Improvement,,python,SPRKCNTPY1000,Information,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy1000
Generic,,python,SPRKCNTPY1000,ConversionError,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy1000
Snowpark Connect TODO,,python,SPRKCNTPY1000,ConversionError,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy1000
Snowpark Connect Performance,,python,SPRKCNTPY1000,Information,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy1000
Snowpark Connect Fix,,python,SPRKCNTPY1000,Warning,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy1000
